angle_deg,rate_dps,wheel_rpm,g_crit,holds_g28,sat_pct_g28
7.0,80,150,19.0,0,51.4
7.0,90,-350,41.0,1,1.6
7.0,90,-300,41.0,1,3.0
7.0,90,-250,39.22,1,4.6
7.0,90,-200,37.97,1,6.6
7.0,90,-150,36.72,1,10.2
7.0,90,-100,35.47,1,14.8
7.0,90,-50,34.22,1,24.0
7.0,90,0,19.0,1,53.4
7.0,90,50,19.0,0,55.0
7.0,90,100,19.0,0,49.8
7.0,90,150,19.0,0,45.8
8.0,20,-350,19.0,0,31.0
8.0,20,-300,21.72,0,34.8
8.0,20,-250,23.28,0,37.2
8.0,20,-200,24.22,0,39.4
8.0,20,-150,24.84,0,40.0
8.0,20,-100,25.16,0,40.4
8.0,20,-50,25.47,0,41.6
8.0,20,0,26.09,0,41.0
8.0,20,50,26.09,0,41.6
8.0,20,100,26.09,0,41.8
8.0,20,150,25.78,0,41.4
8.0,30,-350,24.22,0,34.0
8.0,30,-300,25.47,0,35.8
8.0,30,-250,26.41,0,36.6
8.0,30,-200,27.03,0,37.2
8.0,30,-150,27.34,0,38.0
8.0,30,-100,27.34,0,38.6
8.0,30,-50,27.34,0,39.2
8.0,30,0,27.97,0,37.0
8.0,30,50,27.66,0,36.6
8.0,30,100,27.03,0,37.4
8.0,30,150,26.41,0,37.4
8.0,40,-350,28.59,1,28.2
8.0,40,-300,29.22,1,24.6
8.0,40,-250,29.53,1,19.0
8.0,40,-200,29.53,1,14.4
8.0,40,-150,29.53,1,11.6
8.0,40,-100,28.91,1,22.4
8.0,40,-50,29.53,1,3.6
8.0,40,0,29.22,1,8.8
