spin_rpm,kick_ms,capture_deg,inertia_scale,I_w,case,tau,success,peak_opposite_deg,rise_deg,upright_s,capture_s,kick_start_s,tail_angle_deg,tail_rate_dps,impacted,final_phase
350,500,15,0.5,0.001225,nominal,0.18,False,0,2.797600890151738,,0.218,0.166,16.0,0.0,True,FALLEN
400,20,5,0.5,0.001225,nominal,0.18,False,0,0.3636844352934929,,,0.21,,,True,FALLEN
400,50,5,0.5,0.001225,nominal,0.18,False,0,2.1076072087387665,,,0.21,,,True,FALLEN
400,100,5,0.5,0.001225,nominal,0.18,False,0,7.2627160817749346,,,0.21,,,True,FALLEN
400,200,5,0.5,0.001225,nominal,0.18,True,0.8229134879980151,16.822913487998015,1.54,0.394,0.21,0.7405626143262531,1.0226989135563687,False,BALANCING
400,350,5,0.5,0.001225,nominal,0.18,True,0.8229134879980151,16.822913487998015,1.54,0.394,0.21,0.7405626143262531,1.0226989135563687,False,BALANCING
400,500,5,0.5,0.001225,nominal,0.18,True,0.8229134879980151,16.822913487998015,1.54,0.394,0.21,0.7405626143262531,1.0226989135563687,False,BALANCING
400,20,10,0.5,0.001225,nominal,0.18,False,0,0.3636844352934929,,,0.21,,,True,FALLEN
400,50,10,0.5,0.001225,nominal,0.18,False,0,2.1076072087387665,,,0.21,,,True,FALLEN
400,100,10,0.5,0.001225,nominal,0.18,False,0,7.2627160817749346,,,0.21,,,True,FALLEN
400,200,10,0.5,0.001225,nominal,0.18,False,0,10.559562488721504,,0.34,0.21,16.0,0.0,True,FALLEN
400,350,10,0.5,0.001225,nominal,0.18,False,0,10.559562488721504,,0.34,0.21,16.0,0.0,True,FALLEN
400,500,10,0.5,0.001225,nominal,0.18,False,0,10.559562488721504,,0.34,0.21,16.0,0.0,True,FALLEN
400,20,15,0.5,0.001225,nominal,0.18,False,0,0.3636844352934929,,,0.21,,,True,FALLEN
400,50,15,0.5,0.001225,nominal,0.18,False,0,2.9860817402746704,,0.26,0.21,16.0,0.0,True,FALLEN
400,100,15,0.5,0.001225,nominal,0.18,False,0,2.9860817402746704,,0.26,0.21,16.0,0.0,True,FALLEN
400,200,15,0.5,0.001225,nominal,0.18,False,0,2.9860817402746704,,0.26,0.21,16.0,0.0,True,FALLEN
400,350,15,0.5,0.001225,nominal,0.18,False,0,2.9860817402746704,,0.26,0.21,16.0,0.0,True,FALLEN
400,500,15,0.5,0.001225,nominal,0.18,False,0,2.9860817402746704,,0.26,0.21,16.0,0.0,True,FALLEN
450,20,5,0.5,0.001225,nominal,0.18,False,0,0.43267747331521633,,,0.268,,,True,FALLEN
450,50,5,0.5,0.001225,nominal,0.18,False,0,2.72633249185089,,,0.268,,,True,FALLEN
450,100,5,0.5,0.001225,nominal,0.18,False,0,9.9231270121347,,,0.268,,,True,FALLEN
450,200,5,0.5,0.001225,nominal,0.18,True,0.5468945437651891,16.546894543765188,2.5460000000000003,0.438,0.268,0.5468945437651891,0.6959048619114808,False,BALANCING
450,350,5,0.5,0.001225,nominal,0.18,True,0.5468945437651891,16.546894543765188,2.5460000000000003,0.438,0.268,0.5468945437651891,0.6959048619114808,False,BALANCING
450,500,5,0.5,0.001225,nominal,0.18,True,0.5468945437651891,16.546894543765188,2.5460000000000003,0.438,0.268,0.5468945437651891,0.6959048619114808,False,BALANCING
450,20,10,0.5,0.001225,nominal,0.18,False,0,0.43267747331521633,,,0.268,,,True,FALLEN
450,50,10,0.5,0.001225,nominal,0.18,False,0,2.72633249185089,,,0.268,,,True,FALLEN
450,100,10,0.5,0.001225,nominal,0.18,False,0,9.9231270121347,,,0.268,,,True,FALLEN
450,200,10,0.5,0.001225,nominal,0.18,False,0,10.952396747419797,,0.388,0.268,16.0,0.0,True,FALLEN
450,350,10,0.5,0.001225,nominal,0.18,False,0,10.952396747419797,,0.388,0.268,16.0,0.0,True,FALLEN
450,500,10,0.5,0.001225,nominal,0.18,False,0,10.952396747419797,,0.388,0.268,16.0,0.0,True,FALLEN
450,20,15,0.5,0.001225,nominal,0.18,False,0,0.43267747331521633,,,0.268,,,True,FALLEN
450,50,15,0.5,0.001225,nominal,0.18,False,0,2.975212830906621,,0.314,0.268,16.0,0.0,True,FALLEN
450,100,15,0.5,0.001225,nominal,0.18,False,0,2.975212830906621,,0.314,0.268,16.0,0.0,True,FALLEN
450,200,15,0.5,0.001225,nominal,0.18,False,0,2.975212830906621,,0.314,0.268,16.0,0.0,True,FALLEN
